"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0D580","2020-03-10 00:00:00","120.000","311.000","0.500","23.500","0.800","994.700","","0.500","-99.000","-99.000","-99.000","24.200","","17.900",""
"C0C480","2020-03-10 00:00:00","105.000","269.000","0.500","22.400","0.910","996.100","","2.500","-99.000","-99.000","-99.000","25.400","","19.400",""
"C0V720","2020-03-10 00:00:00","15.000","296.000","2.600","25.900","0.780","1009.700","","0.000","-99.000","-99.000","-99.000","28.300","","22.900",""
"C0UA60","2020-03-10 00:00:00","566.000","81.000","1.200","19.500","0.870","944.400","","0.000","-99.000","-99.000","-99.000","26.700","","16.400",""
"C0C670","2020-03-10 00:00:00","250.000","252.000","2.300","22.100","0.840","980.200","","2.000","-99.000","-99.000","-99.000","24.200","","17.900",""
"C0K550","2020-03-10 00:00:00","15.000","186.000","0.500","23.900","0.890","1009.800","","0.000","-99.000","-99.000","-99.000","30.100","","19.600",""
"C0R350","2020-03-10 00:00:00","35.000","298.000","4.700","24.700","0.850","1007.100","","0.000","10.100","294.000","","28.600","","22.700",""
"C0A560","2020-03-10 00:00:00","405.000","0.000","0.000","18.500","1.000","963.000","","0.000","-99.000","-99.000","-99.000","27.900","","15.100",""
"C0T9F0","2020-03-10 00:00:00","251.000","349.000","0.400","20.700","0.950","979.300","","0.000","-99.000","-99.000","-99.000","28.800","","18.900",""
"C0D390","2020-03-10 00:00:00","146.000","0.000","0.200","22.600","0.870","990.100","","0.500","-99.000","-99.000","-99.000","25.300","","18.200",""
"C0E430","2020-03-10 00:00:00","258.000","211.000","1.600","25.500","0.590","982.500","","0.500","-99.000","-99.000","-99.000","27.400","","16.700",""
"C0O990","2020-03-10 00:00:00","18.000","165.000","0.300","23.700","0.990","1009.100","","0.000","-99.000","-99.000","-99.000","29.400","","18.800",""
"CM0010","2020-03-10 00:00:00","68.000","193.000","0.600","23.100","0.830","1001.000","","0.500","-99.000","-99.000","-99.000","26.400","","19.400",""
